username,created_at,full_text
aetherienll,Wed May 15 23:54:40 +0000 2024,@tanyarlfes WKWKWKWK MIMPI APA LU PADA sekarang orang orangan mereka mah lebih tertarik sama makan siang sama IKN ini aja harga barang barang pokok makin mahal gimana mau realisasiin PTN gratis duit darimana itu
kompasiana,Wed May 15 23:53:01 +0000 2024,Terjebak Macet selama Tiga Jam di Kawasan IKN Nusantara https://t.co/669H4XWIrl
lokastiti,Wed May 15 23:52:43 +0000 2024,Jadi presidennya mau. Giliran disuruh pindah ke IKN ogah. LMAO 
Kanoysim,Wed May 15 23:52:30 +0000 2024,Kebutuhan primer harus di utamakan bahkan di undang-undangkan ygy.. gw juga mau sih tinggal di IKN kalo udah jadi
PartaiPonsel,Wed May 15 23:48:58 +0000 2024,@Andria75777 Mampus kelen...wkwkwkkw . Makan tuh IKN! kami orang Jawa saja tidak suka Jkw dan gengnya kenapa kelen malah dukung??
Judakusumah1,Wed May 15 23:48:55 +0000 2024,@dekade_08 semoga saya sih paling khawatir ttg nasib IKN ke depan @jokowi @budimandjatmiko @PDI_Perjuangan @gibran_tweet
lampu_patromaks,Wed May 15 23:48:27 +0000 2024,Tkt pendidikan berhubungan erat dg kesejahteraan masy. Klo negara pengen maju maka harus berinves di bid pendidikan. Bukan berinves di IKN KA cepat air port dll. Lihat jepang pasca bom atom hal yg pertama dilakukan kaisarnya adl mengumpulkan guru2 yg tersisa @nadiemmakarim
FudJar57505,Wed May 15 23:47:17 +0000 2024,Pemerintah Siapkan 10 Strategi Pengembangan Desa di Sekitar IKN. Ten Hag FA Cup Amad Sandra Dewi Martial Arsenal https://t.co/jPpVttJwQj
MuqaffiAbd,Wed May 15 23:47:06 +0000 2024,@HechiAnget @rootswe2dluv @ub_mfs Jadi wajar sekarang biaya ukt naik di seluruh indonesia ya begitulah mungkin bantuan untuk meringankan ukt larinya ke ikn yang bahkan pejabat2 dpr ogah pindah ke sana
SbywibowoMega,Wed May 15 23:46:12 +0000 2024,Mengupas Kecanggihan Bangunan Cerdas Istana Negara IKN. Sandra Dewi Fuji Indomie Ketek Yunita Tempe https://t.co/6Y6hhtX9tf
ProTunaa,Wed May 15 23:43:15 +0000 2024,VLR SDGs IKN 2024 Akan Menjadi Peta Jalan Solusi Konkret SDGs Dan Gambaran Baseline Area IKN. Sandra Dewi Fuji Tempe Ketek Indomie Qodari https://t.co/djkOUCutqM
talithazhafira_,Wed May 15 23:42:29 +0000 2024,Presiden terpilih Prabowo Subianto tegas nyatakan sikap akan lanjutkan pembangunan IKN #ikn #IndonesiaMaju #şükür #ZangHaiZhuan #TheChase https://t.co/Vd04pb114A
PejuangBeruk,Wed May 15 23:42:05 +0000 2024,Otorita IKN Sukses Tarik Minat 8 Raksasa Teknologi Dunia Bangun Command Center Ultimate. Ten Hag Hojlund Sandra Dewi FA Cup Casemiro Amad https://t.co/ii3X4JI1JZ
bintangfajar33,Wed May 15 23:41:04 +0000 2024,@tanyarlfes Haha mimpi... cuma orang begok yang percaya.. makan siang gratis IKN bikin 300 fakultas kedokteran ribuan beasiswa keluar negri dan janji2 wah beliau yang lain.. uang dari mana.. pinter dikit lah..
investekor,Wed May 15 23:39:03 +0000 2024,pajaknya buat ikn yg ga penting itu
jun_pemulung,Wed May 15 23:38:33 +0000 2024,@BebySoSweet jangan di beriskorsing Mutasi ke IKN
_Marlboro1,Wed May 15 23:32:07 +0000 2024,Dulu... Kau (IKN) adalah segalanya gak ada yang lain sampe akhirku Sekarang... Aku berubah pikiran... https://t.co/LHW3gJZpM6
Tatarori80,Wed May 15 23:29:26 +0000 2024,@Anggita_lung IKN Nusantara🇮🇩
TheDisneyJr,Wed May 15 23:25:45 +0000 2024,@IamPrasPrasetja Mending uangnya utk bikin rumah mentri di ikn pak ️
emilyukus,Wed May 15 23:22:30 +0000 2024,@MichelAdam7__ Krn pemimpin &amp; kacung²ny pd bodo &amp; miskin. Pemimpin dgn ijqsah palsu &amp; blm tentu lulus SMA apa bs berpikir tuk memakmurkan rakyatny? Yg ad d otakny cm bs hdp makmur tuk kel nya. Negara ini bs² dia gadaikan atw d jual. Mulai keliatan khan d IKN dikuasai oleh org² tiongkok.
arinadotid,Wed May 15 23:20:35 +0000 2024,Kemenag Sediakan 1.378 Formasi CPNS 2024 Khusus Penempatan di IKN https://t.co/CeJs7E1I2k
eddybpn,Wed May 15 23:16:25 +0000 2024,Kalimantan Timur Sepakati Konsep Aglomerasi Transportasi di Daerah Penyangga IKN https://t.co/TCvBxp8xZb lewat @penasatu.com
JeblukAkun,Wed May 15 23:16:01 +0000 2024,@RagilSemar Klo skrg visi misinya bikin ikn buat kepentingan rrc....
alexisannramos,Wed May 15 23:11:33 +0000 2024,Presiden Terpilih Prabowo Subianto Tegas nyatakan sikap akan lanjutkan pembangunan IKN. https://t.co/HlDQ9hZdJs
ZeerBad,Wed May 15 23:11:19 +0000 2024,Awalnya tuh aku mengeluh tentang transportasi umum daerahku yang gak well banget. Daripada bikin ikn yang terlalu imajinatif dan eksklusif buat kaum tertentu kenapa gak lebih memajukan kota2 kecil biar lebih enak mobilitasnya. Umr naik transum memadai gitulah paling gak 
adiyustiawan,Wed May 15 23:09:58 +0000 2024,@DrEvaChaniago Pmrinth sprtiny Tau apbn bakal jebol nanggung ikn Dan maksi gratis. Makanya pengeluaran utk selainnya dibebankan sendiri k rakyat
Anggita_lung,Wed May 15 23:07:09 +0000 2024,Pemerintah berencana mengatur kependudukan di IKN usai pemindahan ibu kota negara dari DKI Jakarta. Hal ini diwujudkan melalui kerja sama antara Otorita IKN bersama Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN).
luthfifadhli55,Wed May 15 23:00:37 +0000 2024,@twtyudis Di ikn pula wkwkw
Wulanda94104964,Wed May 15 22:58:21 +0000 2024,Presiden terpilih prabowo subianto tegas nyatakan sikap akan lanjutkan pembagunan IKN https://t.co/YnSwXGSzyR
Harian_Jogja,Wed May 15 22:57:09 +0000 2024,Prabowo: Memindahkan Ibu Kota ke IKN Harus dengan Sumber Daya Dalam Negeri https://t.co/Nu3XnPtueE #beritajogja #jogja #jogjaistimewa https://t.co/Y3IaqaS9ir
KangTebe3,Wed May 15 22:55:33 +0000 2024,@PelatihT1dur Yang ketawa gue keluarin dari grup
Bisniscom,Wed May 15 22:51:10 +0000 2024,GE Vernova Ikut Berpartisipasi Ciptakan Listrik Bersih di IKN https://t.co/cqGnwtanbQ
palingteguh,Wed May 15 22:48:47 +0000 2024,@tanyarlfes Gak mungkin gratis semua PTN. Orang negara maju kayak Jerman aja yg katanya kuliahnya gratis tuh ada biaya nya loh kalo gak salah 30 apa 300 euro per semester tapi itu udah mencakup buat transportasi kantin dll *cmiiw Indo negara berflower makan gratis mau dijalanin IKN
Rfadlis1,Wed May 15 22:46:28 +0000 2024,Anies-Cak Imin ternyata yg benar dgn program Perubahan Kaji ulang IKN. Tapi buzer Prabowo antipati krn melawan berkelanjutannya Jokowi. https://t.co/3IqWXGbCZ8
nayhuangsgf,Wed May 15 22:41:29 +0000 2024,@tanyarlfes yang kebutuhan primer itu ikn doang 
Mitadwiku,Wed May 15 22:41:15 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sulsel makassar https://t.co/rfldu4TTSt
Beren009988197,Wed May 15 22:39:59 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sulteng palu https://t.co/xBYy9IA5EK
Nomahbirashn,Wed May 15 22:39:15 +0000 2024,Nilai investasi di Balikpapan meningkat pesat berkat pembangunan IKN Nusantara https://t.co/bDrX2wFLbl
Aelya1870183265,Wed May 15 22:38:33 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad surabaya jatim https://t.co/tr0Wpqt2ob
vernandouda,Wed May 15 22:36:40 +0000 2024,IKN sebagai kebanggan bangsa menuju Indonesia emas #IKN #IKNNusantara #InvestasiIKN #IKNMajukanIndonesia #ekonomi #prayforsumbar sandra dewi ten hag Amad sumbar padang https://t.co/RsrEMKNXtH
Mardini444222,Wed May 15 22:34:00 +0000 2024,@el4n9bint4n9 Mantap... Bisa dipakai Modal bikin IKN.
