Unnamed: 0,full_text,created_at,cleaned
0,Inilah 2 unit Rumah Tapak Jabatan Menteri yang sudah rampung di IKN dan akan menyusul beberapa rumah Tapak lainnya. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/VdvsbgBZmL,Fri Mar 29 11:48:49 +0000 2024,Inilah 2 unit Rumah Tapak Jabatan Menteri yang sudah rampung di IKN dan akan menyusul beberapa rumah Tapak lainnya    
1,Alhamdulillah terima kasih berkenan mengunjungi kantor @Danone Indonesia pak Prof Rudi beserta jajaran @FahutanUnmul @unmul. Semoga kolaborasi pengembangan miniatur hutan tropis di @ikn_id diberikan kelancaran. #Sustainability #ibukotanusantara #ikn https://t.co/4wGh1tGkQh,Fri Mar 29 02:34:41 +0000 2024,Alhamdulillah terima kasih berkenan mengunjungi kantor  Indonesia pak Prof Rudi beserta jajaran   Semoga kolaborasi pengembangan miniatur hutan tropis di  diberikan kelancaran    
2,Pengamat Kritik 2 Proyek Milik Konglomerat Pendukung IKN Nusantara Jadi PSN Apa Urgensinya? #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PSN https://t.co/yZtGJfWeNl lewat @tribunkaltim,Thu Mar 28 23:39:00 +0000 2024,Pengamat Kritik 2 Proyek Milik Konglomerat Pendukung IKN Nusantara Jadi PSN Apa Urgensinya         lewat 
3,Wow‼️Terlihat dari pinggir jalan Gedung-gedung menjulang tinggi di kawasan IKN Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #akramalfatih #rusunbindanpolri #sepaku #ibukotanusantara #borneo #kalimantan #indonesiaindah https://t.co/csWwchjLdX,Thu Mar 28 06:04:01 +0000 2024,Wow‼️Terlihat dari pinggir jalan Gedunggedung menjulang tinggi di kawasan IKN Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN         
4,Waktu ngedrone roll off trafo PLN di pelabuhan IKN Kalimantan Timur sekuriti berpesan jangan lama2 berdiri di pinggir sungai krn masih banyak buayanya #jrlproduction #dronepilot #ibukotanusantara https://t.co/Gw91Lqg7Ri,Thu Mar 28 03:03:32 +0000 2024,Waktu ngedrone roll off trafo PLN di pelabuhan IKN Kalimantan Timur sekuriti berpesan jangan lama2 berdiri di pinggir sungai krn masih banyak buayanya    
5,Usulan DPR tak Ikut Pindah ke IKN Nusantara Disorot Ekonom: Investor dan Pelaku Usaha Juga Ragu #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #DPR https://t.co/75Brunza7S lewat @tribunkaltim,Wed Mar 27 03:18:10 +0000 2024,Usulan DPR tak Ikut Pindah ke IKN Nusantara Disorot Ekonom Investor dan Pelaku Usaha Juga Ragu          lewat 
6,Suasana Proyek Pembangunan Bandara VVIP IKN apakah ada perubahan ⁉️ Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #bandara #bandaravvipikn #sepaku #ibukotanusantara #penajam #borneo #kaltim #kalimantan #indonesia https://t.co/UxA2H06xzw,Wed Mar 27 02:48:24 +0000 2024,Suasana Proyek Pembangunan Bandara VVIP IKN apakah ada perubahan ⁉️ Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN           
7,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom: Berat Beban ABPN #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN #Investor #APBN https://t.co/5dikIH1DIe lewat @tribunkaltim,Tue Mar 26 23:39:00 +0000 2024,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom Berat Beban ABPN          lewat 
8,Inilah Hunian ASN 4 yang mana pembangunan nya semakin masif di IKN. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/el8ZDbPlnO,Tue Mar 26 13:56:24 +0000 2024,Inilah Hunian ASN 4 yang mana pembangunan nya semakin masif di IKN    
9,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom: Berat Beban ABPN #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN #Investor #APBN https://t.co/5dikIH15SG lewat @tribunkaltim,Tue Mar 26 11:47:44 +0000 2024,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom Berat Beban ABPN          lewat 
10,Suasana pagi yang indah dilokasi pembangunan Hunian Rusun Polri dan BIN di IKN Nusantara. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/kPO2GXmQXw,Tue Mar 26 07:42:33 +0000 2024,Suasana pagi yang indah dilokasi pembangunan Hunian Rusun Polri dan BIN di IKN Nusantara    
11,Bersama-sama kita merangkul perubahan menuju masa depan yang lebih cerah bersama IKN Nusantara ... . Let's embrace the future together ! . https://t.co/A6vGACYsNs . #pusdajatim #OptimisJatimBangkit #jatimcettar #jawatimur #IbuKotaNusantara #PerubahanBerkualitas #IndonesiaMaju,Tue Mar 26 06:39:12 +0000 2024,Bersamasama kita merangkul perubahan menuju masa depan yang lebih cerah bersama IKN Nusantara   Lets embrace the future together           
12,Yuks‼️kita jalan-jalan menelusuri proyek pembuatan Bandara VVIP IKN. Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #akramalfatih #bandara #bandaravvipikn #sepaku #ibukotanusantara #penajam #borneo #kalimantan #indonesia https://t.co/ikHRPJiuOr,Tue Mar 26 04:43:54 +0000 2024,Yuks‼️kita jalanjalan menelusuri proyek pembuatan Bandara VVIP IKN Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN           
13,Inilah Mini Amphitheater ditengah Sumbu Kebangsaan Ibu Kota Nusantara. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/3iArR6ekKv,Mon Mar 25 22:33:35 +0000 2024,Inilah Mini Amphitheater ditengah Sumbu Kebangsaan Ibu Kota Nusantara    
14,Inilah kawasan Gedung-gedung Kementerian di IKN. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/hhBUJhEEJZ,Mon Mar 25 14:40:59 +0000 2024,Inilah kawasan Gedunggedung Kementerian di IKN    
15,Jokowi Tetapkan 2 Proyek Milik Konglomerat yang Bantu IKN Nusantara Jadi PSN Janji Pemerintah #Jokowi #konglomerat #PSN #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur https://t.co/wX5u8iXuVH lewat @tribunkaltim,Mon Mar 25 13:21:37 +0000 2024,Jokowi Tetapkan 2 Proyek Milik Konglomerat yang Bantu IKN Nusantara Jadi PSN Janji Pemerintah           lewat 
16,Suasana Jembatan Pulau Balang IKN Terkini ⁉️ MasyaAllah indahnya pemandangan . Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #akramalfatih #jembatanpulaubalang #ibukotanusantara #penajam #kalimantan #indonesia https://t.co/HyHQTJ6lVV,Mon Mar 25 08:41:34 +0000 2024,Suasana Jembatan Pulau Balang IKN Terkini ⁉️ MasyaAllah indahnya pemandangan  Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN        
17,Ibu Kota Nusantara merupakan kota masa depan Indonesia yang melambangkan kemajuan keberlanjutan dan kekayaan budaya. Sebagai pusat peradaban baru kota ini menggambarkan kesatuan dalam keberagaman di mana cita-cita bertemu dengan kenyataan. #humassulsel #IbuKotaNusantara https://t.co/m5zumvEVAE,Mon Mar 25 06:20:20 +0000 2024,Ibu Kota Nusantara merupakan kota masa depan Indonesia yang melambangkan kemajuan keberlanjutan dan kekayaan budaya Sebagai pusat peradaban baru kota ini menggambarkan kesatuan dalam keberagaman di mana citacita bertemu dengan kenyataan   
18,Kepala Otorita (IKN) Bambang Susanto menyebut pemerintah berencana melakukan uji coba konsep mobil terbang. Selain transportasi canggih ia mengungkapkan konsep tiang listrik penunjuk arah yang bisa menjawab ketika ditanya manusia. #IKN #IbuKotaNusantara #mobilterbang https://t.co/1y9JZTPyzJ,Mon Mar 25 02:21:03 +0000 2024,Kepala Otorita IKN Bambang Susanto menyebut pemerintah berencana melakukan uji coba konsep mobil terbang Selain transportasi canggih ia mengungkapkan konsep tiang listrik penunjuk arah yang bisa menjawab ketika ditanya manusia    
19,2 Proyek Milik Konglomerat Pendukung IKN Nusantara Ditetapkan Jokowi Jadi Proyek Strategis Nasional #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PSN #konglomerat https://t.co/TZf9Ybjvc3 lewat @tribunkaltim,Mon Mar 25 00:09:00 +0000 2024,2 Proyek Milik Konglomerat Pendukung IKN Nusantara Ditetapkan Jokowi Jadi Proyek Strategis Nasional          lewat 
20,Inilah Teras Cakrawala tepat didepan Istana Negara tempat pejalan kaki menikmati keindahan alam Ibu Kota Nusantara. Vt/Video: Warga Nusantara #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/93IfytrMNy,Sun Mar 24 23:58:09 +0000 2024,Inilah Teras Cakrawala tepat didepan Istana Negara tempat pejalan kaki menikmati keindahan alam Ibu Kota Nusantara VtVideo Warga Nusantara    
21,2 Proyek Milik Konglomerat Pendukung IKN Nusantara Ditetapkan Jokowi Jadi Proyek Strategis Nasional #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PSN #konglomerat https://t.co/TZf9Ybk31B lewat @tribunkaltim,Sun Mar 24 15:02:10 +0000 2024,2 Proyek Milik Konglomerat Pendukung IKN Nusantara Ditetapkan Jokowi Jadi Proyek Strategis Nasional          lewat 
22,Inilah Jembatan Pulau Balang penghubung antara Balikpapan dengan IKN. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/cCODTi0Gj8,Sun Mar 24 14:32:43 +0000 2024,Inilah Jembatan Pulau Balang penghubung antara Balikpapan dengan IKN    
23,Duplikasi Jembatan Pulau Balang di IKN ⁉️ Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #akramalfatih #jembatanpulaubalang #ibukotanusantara #penajam #peapaser #borneo #kaltim #kalimantan #indonesia #indonesiaindah https://t.co/R7R3wWYnwg,Sun Mar 24 05:14:28 +0000 2024,Duplikasi Jembatan Pulau Balang di IKN ⁉️ Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN            
24,Inilah Rusun Polri di IKN dan akan rampung pada pertengahan tahun 2024. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/RF9Qylq4DQ,Sat Mar 23 23:21:56 +0000 2024,Inilah Rusun Polri di IKN dan akan rampung pada pertengahan tahun 2024    
