created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 30 09:20:44 +0000 2024;1752260547679285668;"Kepala OIKN Bambang Susantono menargetkan investasi masuk ke IKN mencapai Rp 100 T pada 2024.  #jakdata #IKN #ibukotanusantara #iknnusantara #kalimantantimur #pilpres2024 #debatcapres #beritatiktok #beritaterkini https://t.co/k9SXoOASwE";0;0;0;1;in;1742388709847379968;1752260547679285668;jakdataid;https://twitter.com/jakdataid/status/1752260547679285668
Tue Jan 30 07:55:00 +0000 2024;1752238970312769852;"Kementerian PUPR dan Satgas Percepatan Pembangunan IKN langsung beregerak cepat untuk melakukan perbaikan jalan akses menuju IKN yang longsor.  CARITAU selengkapnya &gt &gt  https://t.co/thN7Y5Il1T  #IKN #jalanIKNLongsor #IbuKotaNusantara https://t.co/JhEFh5Yyta";0;0;1;1;in;1471429821548752898;1752238970312769852;caritaucom;https://twitter.com/caritaucom/status/1752238970312769852
Tue Jan 30 07:12:56 +0000 2024;1752228385898811456;"Apa Itu Pola Kerja Digital yang Diterapkan untuk Fase Pertama Pemindahan ASN ke IKN Nusantara?  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #ASNpindahIKN  https://t.co/eOsNiaXHJr lewat @tribunkaltim";0;0;0;0;in;103551225;1752228385898811456;tribunkaltim;https://twitter.com/tribunkaltim/status/1752228385898811456
Tue Jan 30 05:32:27 +0000 2024;1752203097471066160;"Ruas jalan Sepaku, Penajam Paser Utara, Kaltim ambles. Satu-satunya jalan menuju Ibu Kota Nusantara (IKN) ini untuk sementara terputus total.  Download #metrotvxtend di App Store &amp  Play Store  #ikn #ibukotanusantara #jalanambles #penajampaserutara https://t.co/QbpxoktLT3";2;3;4;13;in;57261519;1752203097471066160;Metro_TV;https://twitter.com/Metro_TV/status/1752203097471066160
Mon Jan 29 06:14:09 +0000 2024;1751851203548545205;"Lokasi IKN tidak termasuk dalam wilayah hutan Kalimantan dengan sebutan Heart of Borneo yang terbentang dari barat sampai utara. #IbuKotaNegara #IbuKotaNusantara #IKNNusantara #KotaDuniaUntukSemua #IKNLestari #GreenForestCity https://t.co/IuYDth0SmA";0;0;0;1;in;57237733;1751851203548545205;suarakeadilan88;https://twitter.com/suarakeadilan88/status/1751851203548545205
Mon Jan 29 06:13:07 +0000 2024;1751850944038613179;"Meskipun tidak ada IKN tetap akan ditebang tiap 6-7 tahun untuk industri kertas. #IbuKotaNegara #IbuKotaNusantara #IKNNusantara #KotaDuniaUntukSemua #IKNLestari #GreenForestCity https://t.co/R5lHZdt863";0;0;0;0;in;57237733;1751850944038613179;suarakeadilan88;https://twitter.com/suarakeadilan88/status/1751850944038613179
Mon Jan 29 06:12:19 +0000 2024;1751850743584416093;"IKN tidak merusak hutan karena dibangun di hutan monokultur. #IbuKotaNegara #IbuKotaNusantara #IKNNusantara #KotaDuniaUntukSemua #IKNLestari #GreenForestCity https://t.co/dTTLpfbIXy";0;0;0;0;in;57237733;1751850743584416093;suarakeadilan88;https://twitter.com/suarakeadilan88/status/1751850743584416093
Mon Jan 29 04:08:45 +0000 2024;1751819646859456563;"Sejarah IKN.  #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #ikn #ibukotanusantara #ridwankamil #bungkarno https://t.co/9cvljLb9T8";0;5;5;9;in;1576913175227748352;1751819646859456563;dekade_08;https://twitter.com/dekade_08/status/1751819646859456563
Sun Jan 28 11:00:01 +0000 2024;1751560758331117840;"Mantap, Pak Ganjar pemimpin rasional untuk pembangunan Ibu Kota Nusantara. #GanjarPranowo #PemimpinHebat #Pembangunan #IbuKotaNusantara https://t.co/jVsfKCwFMY";0;0;0;0;in;1701668481438212096;1751560758331117840;Manifesto2045;https://twitter.com/Manifesto2045/status/1751560758331117840
Sun Jan 28 03:23:09 +0000 2024;1751445781176012947;"Tahun politik tidak mempengaruhi minat investor masuk IKN. Perusahaan lokal maupun asing berencana berekspansi ke Indonesia. #IbuKotaNusantara #IKNNusantara #investments  #InvestFuture  #widm #IndonesiaMaju https://t.co/fr3NvtNCNt";0;0;0;0;in;298641815;1751445781176012947;Coffee2Talks;https://twitter.com/Coffee2Talks/status/1751445781176012947
