full_text,username,cleaned,case_fold,token,stop,stemmed
Inilah 2 unit Rumah Tapak Jabatan Menteri yang sudah rampung di IKN dan akan menyusul beberapa rumah Tapak lainnya. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/VdvsbgBZmL,RobieMrg,Inilah 2 unit Rumah Tapak Jabatan Menteri yang sudah rampung di IKN dan akan menyusul beberapa rumah Tapak lainnya    ,inilah  unit rumah tapak jabatan menteri yang sudah rampung di ikn dan akan menyusul beberapa rumah tapak lainnya,"['inilah', 'unit', 'rumah', 'tapak', 'jabatan', 'menteri', 'yang', 'sudah', 'rampung', 'di', 'ikn', 'dan', 'akan', 'menyusul', 'beberapa', 'rumah', 'tapak', 'lainnya']","['inilah', 'unit', 'rumah', 'tapak', 'jabatan', 'menteri', 'rampung', 'ikn', 'menyusul', 'beberapa', 'rumah', 'tapak', 'lainnya']","['ini', 'unit', 'rumah', 'tapak', 'jabat', 'menteri', 'rampung', 'ikn', 'susul', 'beberapa', 'rumah', 'tapak', 'lain']"
Alhamdulillah terima kasih berkenan mengunjungi kantor @Danone Indonesia pak Prof Rudi beserta jajaran @FahutanUnmul @unmul. Semoga kolaborasi pengembangan miniatur hutan tropis di @ikn_id diberikan kelancaran. #Sustainability #ibukotanusantara #ikn https://t.co/4wGh1tGkQh,karyanto_wibowo,Alhamdulillah terima kasih berkenan mengunjungi kantor  Indonesia pak Prof Rudi beserta jajaran   Semoga kolaborasi pengembangan miniatur hutan tropis di  diberikan kelancaran    ,alhamdulillah terima kasih berkenan mengunjungi kantor  indonesia pak prof rudi beserta jajaran   semoga kolaborasi pengembangan miniatur hutan tropis di  diberikan kelancaran,"['alhamdulillah', 'terima', 'kasih', 'berkenan', 'mengunjungi', 'kantor', 'indonesia', 'pak', 'prof', 'rudi', 'beserta', 'jajaran', 'semoga', 'kolaborasi', 'pengembangan', 'miniatur', 'hutan', 'tropis', 'di', 'diberikan', 'kelancaran']","['alhamdulillah', 'terima', 'kasih', 'berkenan', 'mengunjungi', 'kantor', 'indonesia', 'pak', 'prof', 'rudi', 'beserta', 'jajaran', 'semoga', 'kolaborasi', 'pengembangan', 'miniatur', 'hutan', 'tropis', 'diberikan', 'kelancaran']","['alhamdulillah', 'terima', 'kasih', 'kenan', 'unjung', 'kantor', 'indonesia', 'pak', 'prof', 'rudi', 'serta', 'jajar', 'moga', 'kolaborasi', 'kembang', 'miniatur', 'hutan', 'tropis', 'beri', 'lancar']"
Pengamat Kritik 2 Proyek Milik Konglomerat Pendukung IKN Nusantara Jadi PSN Apa Urgensinya? #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PSN https://t.co/yZtGJfWeNl lewat @tribunkaltim,tribunkaltim,Pengamat Kritik 2 Proyek Milik Konglomerat Pendukung IKN Nusantara Jadi PSN Apa Urgensinya         lewat ,pengamat kritik  proyek milik konglomerat pendukung ikn nusantara jadi psn apa urgensinya         lewat,"['pengamat', 'kritik', 'proyek', 'milik', 'konglomerat', 'pendukung', 'ikn', 'nusantara', 'jadi', 'psn', 'apa', 'urgensinya', 'lewat']","['pengamat', 'kritik', 'proyek', 'milik', 'konglomerat', 'pendukung', 'ikn', 'nusantara', 'jadi', 'psn', 'apa', 'urgensinya', 'lewat']","['amat', 'kritik', 'proyek', 'milik', 'konglomerat', 'dukung', 'ikn', 'nusantara', 'jadi', 'psn', 'apa', 'urgensi', 'lewat']"
Wow‼️Terlihat dari pinggir jalan Gedung-gedung menjulang tinggi di kawasan IKN Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #akramalfatih #rusunbindanpolri #sepaku #ibukotanusantara #borneo #kalimantan #indonesiaindah https://t.co/csWwchjLdX,MitraIKN,Wow‼️Terlihat dari pinggir jalan Gedunggedung menjulang tinggi di kawasan IKN Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN         ,wow‼️terlihat dari pinggir jalan gedunggedung menjulang tinggi di kawasan ikn instagram  mitraikn facebook  mitra ikn tiktok  mitraikn youtube  mitra ikn x  mitra ikn,"['wow‼️terlihat', 'dari', 'pinggir', 'jalan', 'gedunggedung', 'menjulang', 'tinggi', 'di', 'kawasan', 'ikn', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']","['wow‼️terlihat', 'pinggir', 'jalan', 'gedunggedung', 'menjulang', 'tinggi', 'kawasan', 'ikn', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']","['wow lihat', 'pinggir', 'jalan', 'gedunggedung', 'julang', 'tinggi', 'kawasan', 'ikn', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']"
Waktu ngedrone roll off trafo PLN di pelabuhan IKN Kalimantan Timur sekuriti berpesan jangan lama2 berdiri di pinggir sungai krn masih banyak buayanya #jrlproduction #dronepilot #ibukotanusantara https://t.co/Gw91Lqg7Ri,normnsyah,Waktu ngedrone roll off trafo PLN di pelabuhan IKN Kalimantan Timur sekuriti berpesan jangan lama2 berdiri di pinggir sungai krn masih banyak buayanya    ,waktu ngedrone roll off trafo pln di pelabuhan ikn kalimantan timur sekuriti berpesan jangan lama berdiri di pinggir sungai krn masih banyak buayanya,"['waktu', 'ngedrone', 'roll', 'off', 'trafo', 'pln', 'di', 'pelabuhan', 'ikn', 'kalimantan', 'timur', 'sekuriti', 'berpesan', 'jangan', 'lama', 'berdiri', 'di', 'pinggir', 'sungai', 'krn', 'masih', 'banyak', 'buayanya']","['waktu', 'ngedrone', 'roll', 'off', 'trafo', 'pln', 'pelabuhan', 'ikn', 'kalimantan', 'timur', 'sekuriti', 'berpesan', 'jangan', 'lama', 'berdiri', 'pinggir', 'sungai', 'krn', 'banyak', 'buayanya']","['waktu', 'ngedrone', 'roll', 'off', 'trafo', 'pln', 'labuh', 'ikn', 'kalimantan', 'timur', 'sekuriti', 'pesan', 'jangan', 'lama', 'diri', 'pinggir', 'sungai', 'krn', 'banyak', 'buaya']"
Usulan DPR tak Ikut Pindah ke IKN Nusantara Disorot Ekonom: Investor dan Pelaku Usaha Juga Ragu #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #DPR https://t.co/75Brunza7S lewat @tribunkaltim,tribunkaltim,Usulan DPR tak Ikut Pindah ke IKN Nusantara Disorot Ekonom Investor dan Pelaku Usaha Juga Ragu          lewat ,usulan dpr tak ikut pindah ke ikn nusantara disorot ekonom investor dan pelaku usaha juga ragu          lewat,"['usulan', 'dpr', 'tak', 'ikut', 'pindah', 'ke', 'ikn', 'nusantara', 'disorot', 'ekonom', 'investor', 'dan', 'pelaku', 'usaha', 'juga', 'ragu', 'lewat']","['usulan', 'dpr', 'tak', 'ikut', 'pindah', 'ikn', 'nusantara', 'disorot', 'ekonom', 'investor', 'pelaku', 'usaha', 'ragu', 'lewat']","['usul', 'dpr', 'tak', 'ikut', 'pindah', 'ikn', 'nusantara', 'sorot', 'ekonom', 'investor', 'laku', 'usaha', 'ragu', 'lewat']"
Suasana Proyek Pembangunan Bandara VVIP IKN apakah ada perubahan ⁉️ Instagram : mitraikn Facebook : Mitra IKN TikTok : mitra_ikn YouTube : Mitra IKN X : Mitra IKN #mitraikn #bandara #bandaravvipikn #sepaku #ibukotanusantara #penajam #borneo #kaltim #kalimantan #indonesia https://t.co/UxA2H06xzw,MitraIKN,Suasana Proyek Pembangunan Bandara VVIP IKN apakah ada perubahan ⁉️ Instagram  mitraikn Facebook  Mitra IKN TikTok  mitraikn YouTube  Mitra IKN X  Mitra IKN           ,suasana proyek pembangunan bandara vvip ikn apakah ada perubahan ⁉️ instagram  mitraikn facebook  mitra ikn tiktok  mitraikn youtube  mitra ikn x  mitra ikn,"['suasana', 'proyek', 'pembangunan', 'bandara', 'vvip', 'ikn', 'apakah', 'ada', 'perubahan', '⁉️', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']","['suasana', 'proyek', 'pembangunan', 'bandara', 'vvip', 'ikn', 'perubahan', '⁉️', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']","['suasana', 'proyek', 'bangun', 'bandara', 'vvip', 'ikn', 'ubah', '', 'instagram', 'mitraikn', 'facebook', 'mitra', 'ikn', 'tiktok', 'mitraikn', 'youtube', 'mitra', 'ikn', 'x', 'mitra', 'ikn']"
Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom: Berat Beban ABPN #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN #Investor #APBN https://t.co/5dikIH1DIe lewat @tribunkaltim,tribunkaltim,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom Berat Beban ABPN          lewat ,investasi di ikn nusantara dinilai tidak mengutungkan bagi investor ekonom berat beban abpn          lewat,"['investasi', 'di', 'ikn', 'nusantara', 'dinilai', 'tidak', 'mengutungkan', 'bagi', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']","['investasi', 'ikn', 'nusantara', 'dinilai', 'mengutungkan', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']","['investasi', 'ikn', 'nusantara', 'nilai', 'kutung', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']"
Inilah Hunian ASN 4 yang mana pembangunan nya semakin masif di IKN. #ibukotanusantara #infrastrukturikn #iknnusantara https://t.co/el8ZDbPlnO,RobieMrg,Inilah Hunian ASN 4 yang mana pembangunan nya semakin masif di IKN    ,inilah hunian asn  yang mana pembangunan nya semakin masif di ikn,"['inilah', 'hunian', 'asn', 'yang', 'mana', 'pembangunan', 'nya', 'semakin', 'masif', 'di', 'ikn']","['inilah', 'hunian', 'asn', 'mana', 'pembangunan', 'nya', 'semakin', 'masif', 'ikn']","['ini', 'huni', 'asn', 'mana', 'bangun', 'nya', 'makin', 'masif', 'ikn']"
Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom: Berat Beban ABPN #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #investasi #APBN #Investor #APBN https://t.co/5dikIH15SG lewat @tribunkaltim,tribunkaltim,Investasi di IKN Nusantara Dinilai Tidak Mengutungkan bagi Investor Ekonom Berat Beban ABPN          lewat ,investasi di ikn nusantara dinilai tidak mengutungkan bagi investor ekonom berat beban abpn          lewat,"['investasi', 'di', 'ikn', 'nusantara', 'dinilai', 'tidak', 'mengutungkan', 'bagi', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']","['investasi', 'ikn', 'nusantara', 'dinilai', 'mengutungkan', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']","['investasi', 'ikn', 'nusantara', 'nilai', 'kutung', 'investor', 'ekonom', 'berat', 'beban', 'abpn', 'lewat']"
