username,created_at,full_text,cleaned,case_fold,token,stop,lemmatized,Sentiment_Label
aetherienll,Wed May 15 23:54:40 +0000 2024,@tanyarlfes WKWKWKWK MIMPI APA LU PADA sekarang orang orangan mereka mah lebih tertarik sama makan siang sama IKN ini aja harga barang barang pokok makin mahal gimana mau realisasiin PTN gratis duit darimana itu, WKWKWKWK MIMPI APA LU PADA sekarang orang orangan mereka mah lebih tertarik sama makan siang sama IKN ini aja harga barang barang pokok makin mahal gimana mau realisasiin PTN gratis duit darimana itu,wkwkwkwk mimpi apa lu pada sekarang orang orangan mereka mah lebih tertarik sama makan siang sama ikn ini aja harga barang barang pokok makin mahal gimana mau realisasiin ptn gratis duit darimana itu,"['wkwkwkwk', 'mimpi', 'apa', 'lu', 'pada', 'sekarang', 'orang', 'orangan', 'mereka', 'mah', 'lebih', 'tertarik', 'sama', 'makan', 'siang', 'sama', 'ikn', 'ini', 'aja', 'harga', 'barang', 'barang', 'pokok', 'makin', 'mahal', 'gimana', 'mau', 'realisasiin', 'ptn', 'gratis', 'duit', 'darimana', 'itu']","['wkwkwkwk', 'mimpi', 'lu', 'orang', 'orangan', 'mah', 'tertarik', 'makan', 'siang', 'ikn', 'aja', 'harga', 'barang', 'barang', 'pokok', 'mahal', 'gimana', 'realisasiin', 'ptn', 'gratis', 'duit', 'darimana']","['wkwkwkwk', 'mimpi', 'lu', 'orang', 'orangan', 'mah', 'tertarik', 'makan', 'siang', 'ikn', 'aja', 'harga', 'barang', 'barang', 'pokok', 'mahal', 'gimana', 'realisasiin', 'ptn', 'gratis', 'duit', 'darimana']",Neutral
kompasiana,Wed May 15 23:53:01 +0000 2024,Terjebak Macet selama Tiga Jam di Kawasan IKN Nusantara https://t.co/669H4XWIrl,Terjebak Macet selama Tiga Jam di Kawasan IKN Nusantara ,terjebak macet selama tiga jam di kawasan ikn nusantara,"['terjebak', 'macet', 'selama', 'tiga', 'jam', 'di', 'kawasan', 'ikn', 'nusantara']","['terjebak', 'macet', 'jam', 'kawasan', 'ikn', 'nusantara']","['terjebak', 'macet', 'jam', 'kawasan', 'ikn', 'nusantara']",Neutral
lokastiti,Wed May 15 23:52:43 +0000 2024,Jadi presidennya mau. Giliran disuruh pindah ke IKN ogah. LMAO ,Jadi presidennya mau Giliran disuruh pindah ke IKN ogah LMAO ,jadi presidennya mau giliran disuruh pindah ke ikn ogah lmao,"['jadi', 'presidennya', 'mau', 'giliran', 'disuruh', 'pindah', 'ke', 'ikn', 'ogah', 'lmao']","['presidennya', 'giliran', 'disuruh', 'pindah', 'ikn', 'ogah', 'lmao']","['presidennya', 'giliran', 'disuruh', 'pindah', 'ikn', 'ogah', 'lmao']",Neutral
Kanoysim,Wed May 15 23:52:30 +0000 2024,Kebutuhan primer harus di utamakan bahkan di undang-undangkan ygy.. gw juga mau sih tinggal di IKN kalo udah jadi,Kebutuhan primer harus di utamakan bahkan di undangundangkan ygy gw juga mau sih tinggal di IKN kalo udah jadi,kebutuhan primer harus di utamakan bahkan di undangundangkan ygy gw juga mau sih tinggal di ikn kalo udah jadi,"['kebutuhan', 'primer', 'harus', 'di', 'utamakan', 'bahkan', 'di', 'undangundangkan', 'ygy', 'gw', 'juga', 'mau', 'sih', 'tinggal', 'di', 'ikn', 'kalo', 'udah', 'jadi']","['kebutuhan', 'primer', 'utamakan', 'undangundangkan', 'ygy', 'gw', 'sih', 'tinggal', 'ikn', 'kalo', 'udah']","['kebutuhan', 'primer', 'utamakan', 'undangundangkan', 'ygy', 'gw', 'sih', 'tinggal', 'ikn', 'kalo', 'udah']",Neutral
PartaiPonsel,Wed May 15 23:48:58 +0000 2024,@Andria75777 Mampus kelen...wkwkwkkw . Makan tuh IKN! kami orang Jawa saja tidak suka Jkw dan gengnya kenapa kelen malah dukung??, Mampus kelenwkwkwkkw  Makan tuh IKN kami orang Jawa saja tidak suka Jkw dan gengnya kenapa kelen malah dukung,mampus kelenwkwkwkkw makan tuh ikn kami orang jawa saja tidak suka jkw dan gengnya kenapa kelen malah dukung,"['mampus', 'kelenwkwkwkkw', 'makan', 'tuh', 'ikn', 'kami', 'orang', 'jawa', 'saja', 'tidak', 'suka', 'jkw', 'dan', 'gengnya', 'kenapa', 'kelen', 'malah', 'dukung']","['mampus', 'kelenwkwkwkkw', 'makan', 'tuh', 'ikn', 'orang', 'jawa', 'suka', 'jkw', 'gengnya', 'kelen', 'dukung']","['mampus', 'kelenwkwkwkkw', 'makan', 'tuh', 'ikn', 'orang', 'jawa', 'suka', 'jkw', 'gengnya', 'kelen', 'dukung']",Neutral
Judakusumah1,Wed May 15 23:48:55 +0000 2024,@dekade_08 semoga saya sih paling khawatir ttg nasib IKN ke depan @jokowi @budimandjatmiko @PDI_Perjuangan @gibran_tweet, semoga saya sih paling khawatir ttg nasib IKN ke depan    ,semoga saya sih paling khawatir ttg nasib ikn ke depan,"['semoga', 'saya', 'sih', 'paling', 'khawatir', 'ttg', 'nasib', 'ikn', 'ke', 'depan']","['semoga', 'sih', 'khawatir', 'ttg', 'nasib', 'ikn']","['semoga', 'sih', 'khawatir', 'ttg', 'nasib', 'ikn']",Neutral
lampu_patromaks,Wed May 15 23:48:27 +0000 2024,Tkt pendidikan berhubungan erat dg kesejahteraan masy. Klo negara pengen maju maka harus berinves di bid pendidikan. Bukan berinves di IKN KA cepat air port dll. Lihat jepang pasca bom atom hal yg pertama dilakukan kaisarnya adl mengumpulkan guru2 yg tersisa @nadiemmakarim,Tkt pendidikan berhubungan erat dg kesejahteraan masy Klo negara pengen maju maka harus berinves di bid pendidikan Bukan berinves di IKN KA cepat air port dll Lihat jepang pasca bom atom hal yg pertama dilakukan kaisarnya adl mengumpulkan guru2 yg tersisa ,tkt pendidikan berhubungan erat dg kesejahteraan masy klo negara pengen maju maka harus berinves di bid pendidikan bukan berinves di ikn ka cepat air port dll lihat jepang pasca bom atom hal yg pertama dilakukan kaisarnya adl mengumpulkan guru yg tersisa,"['tkt', 'pendidikan', 'berhubungan', 'erat', 'dg', 'kesejahteraan', 'masy', 'klo', 'negara', 'pengen', 'maju', 'maka', 'harus', 'berinves', 'di', 'bid', 'pendidikan', 'bukan', 'berinves', 'di', 'ikn', 'ka', 'cepat', 'air', 'port', 'dll', 'lihat', 'jepang', 'pasca', 'bom', 'atom', 'hal', 'yg', 'pertama', 'dilakukan', 'kaisarnya', 'adl', 'mengumpulkan', 'guru', 'yg', 'tersisa']","['tkt', 'pendidikan', 'berhubungan', 'erat', 'dg', 'kesejahteraan', 'masy', 'klo', 'negara', 'pengen', 'maju', 'berinves', 'bid', 'pendidikan', 'berinves', 'ikn', 'ka', 'cepat', 'air', 'port', 'dll', 'lihat', 'jepang', 'pasca', 'bom', 'atom', 'yg', 'kaisarnya', 'adl', 'mengumpulkan', 'guru', 'yg', 'tersisa']","['tkt', 'pendidikan', 'berhubungan', 'erat', 'dg', 'kesejahteraan', 'masy', 'klo', 'negara', 'pengen', 'maju', 'berinves', 'bid', 'pendidikan', 'berinves', 'ikn', 'ka', 'cepat', 'air', 'port', 'dll', 'lihat', 'jepang', 'pasca', 'bom', 'atom', 'yg', 'kaisarnya', 'adl', 'mengumpulkan', 'guru', 'yg', 'tersisa']",Neutral
FudJar57505,Wed May 15 23:47:17 +0000 2024,Pemerintah Siapkan 10 Strategi Pengembangan Desa di Sekitar IKN. Ten Hag FA Cup Amad Sandra Dewi Martial Arsenal https://t.co/jPpVttJwQj,Pemerintah Siapkan 10 Strategi Pengembangan Desa di Sekitar IKN Ten Hag FA Cup Amad Sandra Dewi Martial Arsenal ,pemerintah siapkan strategi pengembangan desa di sekitar ikn ten hag fa cup amad sandra dewi martial arsenal,"['pemerintah', 'siapkan', 'strategi', 'pengembangan', 'desa', 'di', 'sekitar', 'ikn', 'ten', 'hag', 'fa', 'cup', 'amad', 'sandra', 'dewi', 'martial', 'arsenal']","['pemerintah', 'siapkan', 'strategi', 'pengembangan', 'desa', 'ikn', 'ten', 'hag', 'fa', 'cup', 'amad', 'sandra', 'dewi', 'martial', 'arsenal']","['pemerintah', 'siapkan', 'strategi', 'pengembangan', 'desa', 'ikn', 'ten', 'hag', 'fa', 'cup', 'amad', 'sandra', 'dewi', 'martial', 'arsenal']",Neutral
MuqaffiAbd,Wed May 15 23:47:06 +0000 2024,@HechiAnget @rootswe2dluv @ub_mfs Jadi wajar sekarang biaya ukt naik di seluruh indonesia ya begitulah mungkin bantuan untuk meringankan ukt larinya ke ikn yang bahkan pejabat2 dpr ogah pindah ke sana,   Jadi wajar sekarang biaya ukt naik di seluruh indonesia ya begitulah mungkin bantuan untuk meringankan ukt larinya ke ikn yang bahkan pejabat2 dpr ogah pindah ke sana,jadi wajar sekarang biaya ukt naik di seluruh indonesia ya begitulah mungkin bantuan untuk meringankan ukt larinya ke ikn yang bahkan pejabat dpr ogah pindah ke sana,"['jadi', 'wajar', 'sekarang', 'biaya', 'ukt', 'naik', 'di', 'seluruh', 'indonesia', 'ya', 'begitulah', 'mungkin', 'bantuan', 'untuk', 'meringankan', 'ukt', 'larinya', 'ke', 'ikn', 'yang', 'bahkan', 'pejabat', 'dpr', 'ogah', 'pindah', 'ke', 'sana']","['wajar', 'biaya', 'ukt', 'indonesia', 'ya', 'bantuan', 'meringankan', 'ukt', 'larinya', 'ikn', 'pejabat', 'dpr', 'ogah', 'pindah']","['wajar', 'biaya', 'ukt', 'indonesia', 'ya', 'bantuan', 'meringankan', 'ukt', 'larinya', 'ikn', 'pejabat', 'dpr', 'ogah', 'pindah']",Neutral
SbywibowoMega,Wed May 15 23:46:12 +0000 2024,Mengupas Kecanggihan Bangunan Cerdas Istana Negara IKN. Sandra Dewi Fuji Indomie Ketek Yunita Tempe https://t.co/6Y6hhtX9tf,Mengupas Kecanggihan Bangunan Cerdas Istana Negara IKN Sandra Dewi Fuji Indomie Ketek Yunita Tempe ,mengupas kecanggihan bangunan cerdas istana negara ikn sandra dewi fuji indomie ketek yunita tempe,"['mengupas', 'kecanggihan', 'bangunan', 'cerdas', 'istana', 'negara', 'ikn', 'sandra', 'dewi', 'fuji', 'indomie', 'ketek', 'yunita', 'tempe']","['mengupas', 'kecanggihan', 'bangunan', 'cerdas', 'istana', 'negara', 'ikn', 'sandra', 'dewi', 'fuji', 'indomie', 'ketek', 'yunita', 'tempe']","['mengupas', 'kecanggihan', 'bangunan', 'cerdas', 'istana', 'negara', 'ikn', 'sandra', 'dewi', 'fuji', 'indomie', 'ketek', 'yunita', 'tempe']",Neutral
